Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
60,Brandon Boston Jr.,SG,20,LAC,50,722,11,0.478,0.352,0.219,2.4,12.6,7.7,9.6,1.7,1.4,8.1,22.5,,-0.5,0.8,0.3,0.017,,-3,-0.5,-3.5,-0.3
61,Chris Boucher,PF,29,TOR,75,1570,17.9,0.568,0.39,0.33,11,21.5,16,1.9,1.5,4.3,6.1,17.8,,3.2,2.3,5.5,0.169,,0.3,-0.4,-0.1,0.8
62,James Bouknight,SG,21,CHO,28,296,10.5,0.468,0.36,0.228,7.3,9.8,8.6,10.9,1.1,0.3,8,23.3,,0,0.1,0.1,0.012,,-3.1,-3.6,-6.7,-0.4
63,Avery Bradley,SG,31,LAL,60,1361,7.8,0.543,0.598,0.053,2.5,8.1,5.3,4.5,1.8,0.6,9.8,12.2,,0.2,0.9,1.1,0.037,,-3.6,-0.1,-3.7,-0.6
64,Tony Bradley,C,24,CHI,52,524,14.4,0.594,0,0.225,12.9,24.4,18.7,6.7,0.9,5.3,19.7,12.8,,0.6,0.7,1.2,0.114,,-2.1,0.4,-1.7,0
65,Ignas Brazdeikis,SF,23,ORL,38,406,9.6,0.523,0.467,0.141,4.2,9.4,6.8,10.6,1,0.5,8.9,16.8,,0.1,0.2,0.3,0.039,,-2.9,-1.4,-4.2,-0.2
66,Mikal Bridges,SF,25,PHO,77,2736,14.5,0.629,0.368,0.182,3,9.9,6.6,8.7,1.6,1.2,6.8,14.9,,5.1,3.6,8.7,0.153,,0.6,1.1,1.8,2.6
67,Miles Bridges,PF,23,CHO,76,2721,17.9,0.592,0.383,0.276,3.4,17.7,10.4,15.9,1.3,2.3,10.1,22.6,,4.7,2.2,6.9,0.121,,1.8,-0.3,1.5,2.4
68,Oshae Brissett,SF,23,IND,63,1435,12.5,0.523,0.464,0.325,7.5,17.9,12.6,5.7,1.4,1.8,8.3,16.9,,1.1,0.9,2,0.066,,-0.7,-1.5,-2.3,-0.1
69,Malcolm Brogdon,PG,29,IND,36,1206,18.2,0.557,0.343,0.308,3,14.2,8.5,27.1,1.2,1,11.1,24.7,,2.3,0.5,2.7,0.109,,2.8,-0.5,2.3,1.3
70,Armoni Brooks,SG-PG,23,TOT,51,806,8.8,0.489,0.858,0.068,2.5,10.7,6.6,10.5,1.6,1.3,8.2,16.6,,-0.1,0.3,0.3,0.016,,-2.3,-1.3,-3.6,-0.3
70,Armoni Brooks,SG,23,HOU,41,690,8.4,0.49,0.849,0.076,1.9,11,6.4,10.3,1.4,1,8.1,17.4,,-0.2,0.2,0,0.003,,-2.6,-1.8,-4.4,-0.4
70,Armoni Brooks,PG,23,TOR,10,116,11,0.483,0.933,0,6.2,8.9,7.5,11.5,2.6,2.5,9.1,12.2,,0.1,0.1,0.2,0.097,,-0.9,1.9,1,0.1
71,Dillon Brooks,SF,26,MEM,30,835,15.5,0.513,0.287,0.21,3.6,8.8,6.1,14.9,2,0.7,8.2,28.9,,0.6,0.9,1.5,0.088,,-1,-0.7,-1.7,0.1
72,Bruce Brown,SF,25,BRK,68,1631,14.7,0.568,0.18,0.246,6.4,14.7,10.6,10.9,2.2,2.3,8.6,15,,2.5,1.8,4.2,0.124,,-0.6,0.9,0.3,0.9
