Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
71,Dillon Brooks,SF,26,MEM,31,861,15.1,0.51,0.282,0.204,3.4,8.7,6,14.9,2,0.8,8.3,28.9,,0.5,0.9,1.4,0.08,,-1.3,-0.7,-2.1,0
72,Bruce Brown,SF,25,BRK,70,1696,14.6,0.57,0.183,0.247,6.3,14.5,10.5,11.1,2.1,2.4,8.9,14.8,,2.6,1.9,4.4,0.125,,-0.6,1,0.3,1
73,Charlie Brown Jr.,SG,24,TOT,22,177,6.5,0.346,0.308,0.256,9,11.2,10.1,4.5,2.8,2,10.3,12.3,,-0.2,0.2,0,0.012,,-5.2,0.4,-4.8,-0.1
73,Charlie Brown Jr.,SG,24,DAL,3,15,5.1,0.2,0.6,0,0,7.4,3.7,8.9,6.7,6,0,15,,-0.1,0,0,-0.052,,-7.7,5,-2.7,0
73,Charlie Brown Jr.,SG,24,PHI,19,162,6.6,0.365,0.265,0.294,9.8,11.5,10.7,4.1,2.5,1.7,11.5,12,,-0.1,0.2,0.1,0.018,,-5,-0.1,-5,-0.1
74,Chaundee Brown Jr.,SG-SF,23,TOT,5,104,6.5,0.447,0.563,0.188,1.1,15.6,8.4,5.1,0.9,0,2.8,14.9,,0,0,0,0.002,,-4.3,-2.4,-6.7,-0.1
74,Chaundee Brown Jr.,SF,23,LAL,2,21,-8.7,0.143,0.429,0,0,10.2,5.1,0,0,0,12.5,16.4,,-0.1,0,-0.1,-0.307,,-11.6,-5,-16.6,-0.1
74,Chaundee Brown Jr.,SG,23,ATL,3,83,10.3,0.525,0.6,0.24,1.3,17,9.2,6.4,1.2,0,0,14.6,,0.1,0,0.1,0.08,,-2.4,-1.7,-4.2,0
75,Greg Brown III,SF,20,POR,46,602,12,0.525,0.3,0.361,6.7,17.2,11.8,8.4,2.1,3.6,13.3,17.3,,0.1,0.5,0.6,0.047,,-3.5,-0.5,-4,-0.3
76,Jaylen Brown,SF,25,BOS,65,2197,19,0.575,0.381,0.265,2.7,16.8,9.9,17.9,1.6,0.7,11.5,30.4,,2.3,3.4,5.7,0.125,,2,0.1,2.1,2.2
77,Moses Brown,C,22,TOT,38,332,18.2,0.602,0,0.706,12.8,31.4,22.2,0.5,1.1,4.3,13,20.7,,0.4,0.6,1.1,0.155,,-2.6,-0.9,-3.5,-0.1
77,Moses Brown,C,22,DAL,26,169,15.6,0.588,0,0.86,10.5,29.6,20,0.9,0.9,4.8,16.9,22.1,,0.1,0.3,0.4,0.11,,-4.7,-0.2,-4.9,-0.1
77,Moses Brown,C,22,CLE,12,163,21,0.618,0,0.558,15.2,33.1,24.4,0,1.2,3.8,8.5,19.2,,0.4,0.3,0.7,0.201,,-0.4,-1.7,-2.1,0
78,Sterling Brown,SG,26,DAL,48,614,8.3,0.492,0.597,0.101,4.7,21.6,13.1,7.7,1.1,1,12.9,13.1,,-0.1,0.8,0.7,0.057,,-3.4,0.4,-3,-0.2
79,Troy Brown Jr.,SF,22,CHI,64,996,9.5,0.518,0.513,0.104,4.2,16.8,10.5,7.6,1.5,0.4,8.7,12.2,,0.4,0.8,1.2,0.059,,-2,-0.3,-2.3,-0.1
80,Jalen Brunson,PG,25,DAL,77,2477,17.1,0.582,0.245,0.209,1.9,11.6,6.7,24.4,1.3,0.1,10.2,21.9,,4.7,2.5,7.2,0.14,,0.9,0,0.8,1.8
81,Thomas Bryant,C,24,WAS,26,414,17.7,0.622,0.278,0.278,7.1,18.9,13.1,8.5,0.7,3.7,10,19.3,,0.8,0.4,1.1,0.133,,0.3,-0.8,-0.5,0.2
82,Shaq Buchanan,PG,25,MEM,2,10,0.6,0.25,0.5,0,10.2,10.7,10.5,25,4.8,0,33.3,24.6,,-0.1,0,0,-0.229,,-11.2,0,-11.2,0
83,Reggie Bullock,SF,30,DAL,66,1849,9.5,0.564,0.785,0.096,1.9,12.3,7.1,6.2,1.1,0.7,6.8,13.3,,1.3,1.9,3.2,0.083,,-1.2,0,-1.2,0.4
84,Trey Burke,PG,29,DAL,40,420,9.9,0.479,0.388,0.112,1.1,7.2,4.1,20,1.3,0,10.7,26,,-0.4,0.4,0,-0.003,,-3.5,-1.5,-5,-0.3
85,Alec Burks,SG,30,NYK,79,2245,13.9,0.561,0.532,0.365,2.1,16.6,9.2,15.4,1.9,1.1,9.3,17.8,,3.3,2.7,6,0.127,,-0.2,1.2,0.9,1.7
86,Jared Butler,SG,21,UTA,40,334,12,0.502,0.583,0.083,1.7,11.7,6.9,26.7,2.4,1.9,17.2,23.5,,-0.1,0.4,0.3,0.049,,-2.4,0.4,-2,0
87,Jimmy Butler,SF,32,MIA,56,1894,23.8,0.591,0.139,0.541,6.2,13.6,9.9,26.9,2.5,1.5,10.3,26.6,,6.2,2.9,9.2,0.233,,4.6,1.9,6.6,4.1
88,Devontae Cacok,PF,25,SAS,13,95,24.3,0.698,0,0.259,7.7,34.5,20.9,7.5,3.5,6.2,6.2,14.2,,0.3,0.2,0.5,0.255,,2.2,4.4,6.6,0.2
89,Kentavious Caldwell-Pope,SG,28,WAS,77,2329,12.6,0.568,0.492,0.186,2,10.3,6.2,9.1,1.8,0.9,9.8,19,,1.4,1.4,2.9,0.059,,-0.9,-0.6,-1.5,0.3
90,Facundo Campazzo,PG,30,DEN,64,1175,11.1,0.504,0.651,0.267,2.3,8.7,5.6,23.8,2.5,1.8,16.8,14.7,,0.7,1.3,2,0.082,,-2.1,1.3,-0.8,0.4
91,Vlatko Čančar,PF,24,DEN,14,152,13.8,0.678,0.308,0.308,4.6,12.1,8.5,11.9,0.6,1.8,15.3,15.1,,0.3,0.1,0.4,0.122,,-0.1,-0.5,-0.6,0.1
92,Devin Cannady,PG,25,ORL,4,111,7.5,0.489,0.824,0.118,0.9,4.8,2.9,10.4,2.2,2.5,12.3,15.9,,-0.1,0.1,0,0.002,,-3.6,0.4,-3.2,0
93,Clint Capela,C,27,ATL,72,1991,21,0.6,0.002,0.278,14.7,31.8,23.3,6.8,1.3,4.1,6.3,15.3,,5.2,2.7,7.9,0.19,,2,-0.1,1.9,2
94,Vernon Carey Jr.,C,20,TOT,5,18,16.2,0.546,0,0.5,17.3,11.9,14.7,0,2.7,0,12,19.6,,0,0,0,0.092,,-3,-5.2,-8.2,0
94,Vernon Carey Jr.,C,20,CHO,4,17,17.2,0.546,0,0.5,18.3,12.7,15.5,0,2.8,0,12,20.8,,0,0,0,0.099,,-2.8,-5.2,-8,0
94,Vernon Carey Jr.,C,20,WAS,1,1,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.012,,-6.2,-5.8,-12.1,0
95,Jevon Carter,PG,26,TOT,64,858,9.9,0.549,0.682,0.075,1.7,11.1,6.5,13.6,1.1,1.5,11.8,14,,0.6,0.6,1.2,0.066,,-1.5,-0.5,-2.1,0
95,Jevon Carter,PG,26,BRK,46,552,6.6,0.462,0.73,0.057,1.8,11.2,6.6,10.9,1.2,1.6,12.7,15.9,,-0.4,0.4,-0.1,-0.005,,-3.6,-0.9,-4.4,-0.3
95,Jevon Carter,PG,26,MIL,18,306,15.9,0.773,0.554,0.123,1.4,10.9,6.2,18.5,0.9,1.3,9.3,10.5,,1,0.2,1.2,0.193,,2.1,0.1,2.2,0.3
96,Wendell Carter Jr.,C,22,ORL,62,1852,18.4,0.601,0.313,0.303,7.9,29.1,18.5,15.4,0.9,2.1,13.1,20.8,,2.6,2.4,5,0.129,,1,0.5,1.6,1.7
97,Alex Caruso,SG,27,CHI,41,1147,11.8,0.528,0.492,0.285,3.2,11.2,7.2,18.5,3,1.1,16.5,13.3,,0.7,1.3,2,0.083,,-2.2,2.3,0.1,0.6
98,Willie Cauley-Stein,C,28,TOT,20,183,8.3,0.474,0.057,0.057,7.9,16.4,12.1,7.5,1.7,1.5,16.3,10.6,,0,0.3,0.2,0.064,,-4.1,1.1,-3,0
98,Willie Cauley-Stein,C,28,DAL,18,177,8.4,0.474,0.057,0.057,8.1,15.7,11.9,7,1.7,1.5,16.3,10.9,,0,0.2,0.2,0.061,,-4.1,0.9,-3.2,-0.1
98,Willie Cauley-Stein,C,28,PHI,2,6,4.2,,,,0,36.5,18.6,20.6,0,0,,0,,0,0,0,0.136,,-4.6,5.8,1.2,0
99,Ahmad Caver,PG,25,IND,1,1,76.5,1,0,0,0,0,0,0,0,0,0,42.8,,0,0,0,1.209,,30.2,6.3,36.5,0
100,Justin Champagnie,SF,20,TOR,35,274,13.5,0.566,0.4,0.138,13.9,13.8,13.8,5.5,1.3,1.4,9.2,11.9,,0.5,0.3,0.8,0.14,,-1.3,-0.8,-2.1,0
101,Zylan Cheatham,SF,26,UTA,1,5,-23.8,0,0.667,0,0,0,0,0,0,0,0,26.2,,-0.1,0,-0.1,-0.614,,-19.2,-11.3,-30.6,0
102,Chris Chiozza,PG,26,GSW,34,372,4.4,0.407,0.654,0.037,2.7,7.7,5.3,22.5,1.7,0,28,13.4,,-0.5,0.4,0,-0.004,,-5.7,-0.3,-6,-0.4
103,Marquese Chriss,PF,24,DAL,33,325,15.4,0.526,0.197,0.244,10.2,24,17.1,8.3,2,3.3,10.8,21.9,,0.2,0.6,0.8,0.112,,-3.5,0.4,-3.1,-0.1
